,median
prev_close,18.10531136
overnight_ret,0.0
intraday_ret,-0.00039806900918015753
close_to_vwap,-0.02175312051780237
open_to_vwap,-0.02348394791354308
high_to_close,0.018320653390020092
close_to_low,0.016540564840030192
high_to_open,0.01787186080095793
low_to_open,-0.017383489202073554
range_pct,0.041571046200395645
close_range_pos,0.4696969696969686
upper_shadow_pct,0.009331733006510357
lower_shadow_pct,0.008823529411764675
volume_shock20,-0.08972344723962972
volume_z20,-0.24219170083986935
daily_vwap_volume_shock20,-0.08889507212430486
daily_vwap_volume_z20,-0.23722169613197147
daily_vwap_pv_shock20,-0.09628067643882054
daily_vwap_pv_z20,-0.23274478376442995
range_pct_shock20,-0.08548218477265013
range_pct_z20,-0.21991618585754608
intraday_ret_shock20,-0.9350302908910971
intraday_ret_z20,-0.06451719242718126
overnight_intraday_reversal,0.0
overnight_plus_intraday,-0.0009201966134377848
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,0.0
first_60m_ret,-0.0006375596403814243
morning_ret,-0.0012026368669856846
afternoon_ret,0.0
last_30m_ret,0.0
last_60m_ret,0.0
morning_vwap,19.71623089612227
afternoon_vwap,19.713850977215458
last_30m_vwap,19.69442378035807
first_60m_volume_share,0.3836346041641294
last_30m_volume_share,0.12640885167459393
morning_vwap_to_close,-0.022657345955620356
afternoon_vwap_to_close,-0.021292942202840004
last_30m_vwap_to_close,-0.02241373102586297
morning_afternoon_reversal,-1.077704707529524e-06
first60_last30_reversal,0.0
peTTM,50.702281
pbMRQ,3.1593465
psTTM,5.960983000000001
pcfNcfTTM,-25.528714
profit_roeAvg,0.03943
profit_npMargin,0.115436
profit_gpMargin,0.368123
profit_netProfit,140872267.56
profit_epsTTM,0.421866
profit_totalShare,679036441.0
profit_liqaShare,679036441.0
operation_NRTurnRatio,1.641401
operation_NRTurnDays,155.458746
operation_INVTurnRatio,0.655166
operation_INVTurnDays,385.93482
operation_CATurnRatio,0.425734
operation_AssetTurnRatio,0.161829
growth_YOYEquity,0.051838
growth_YOYAsset,0.075387
growth_YOYNI,0.158006
growth_YOYEPSBasic,0.08
growth_YOYPNI,0.155503
solvency_currentRatio,1.180435
solvency_quickRatio,0.653236
solvency_cashRatio,0.214371
solvency_YOYLiability,0.109845
